path,start,end,nestLabel,dir,Unnamed: 0
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2393,2397,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2430,2444,0,out,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2460,2464,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2475,2489,0,in,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2519,2519,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2527,2534,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2572,2576,0,out,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2596,2600,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2614,2618,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2620,2622,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2652,2654,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2714,2719,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2739,2739,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2741,2745,0,in,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2768,2768,0,still,
/Volumes/OSMIACAM_2/Osmia_cameras/osmia3/OsmiaVids/extCam/05_09_25/osmia3_2025-05-09_07-10-01_ext1.h264,2771,2780,0,still,
